,portfolio_value,daily_return,daily_turnover
2021-03-01,130245.239143,-0.0079,
2021-03-02,131413.422466,0.008969,
2021-03-03,132025.887052,0.004661,
2021-03-04,134810.397423,0.021091,
2021-03-05,136787.971076,0.014669,
2021-03-08,140714.725562,0.028707,
2021-03-09,130179.877511,-0.074867,
2021-03-10,131656.267008,0.011341,
2021-03-11,128319.934636,-0.025341,
2021-03-12,129476.849017,0.009016,
2021-03-15,127198.373405,-0.017598,
2021-03-16,126633.823125,-0.004438,
2021-03-17,126058.779422,-0.004541,
2021-03-18,129104.385087,0.02416,
2021-03-19,128632.094815,-0.003658,
2021-03-22,126197.844427,-0.018924,
2021-03-23,126134.125632,-0.000505,
2021-03-24,127162.188719,0.008151,
2021-03-25,126428.43616,-0.00577,
2021-03-26,126945.115973,0.004087,
2021-03-29,128080.310091,0.008942,
2021-03-30,126653.664358,-0.011139,
2021-03-31,123980.69077,-0.021105,
2021-04-01,123800.688236,-0.001452,
2021-04-05,125464.008614,0.013435,
2021-04-06,124863.189138,-0.004789,
2021-04-07,125535.16548,0.005382,
2021-04-08,126770.092938,0.009837,
2021-04-09,127566.570002,0.006283,
2021-04-12,128591.545078,0.008035,
2021-04-13,129076.935155,0.003775,
2021-04-14,126461.822558,-0.02026,
2021-04-15,129385.158724,0.023116,
2021-04-16,129006.143144,-0.002929,
2021-04-19,127126.726241,-0.014568,
2021-04-20,126483.966128,-0.005056,
2021-04-21,127591.82267,0.008759,
2021-04-22,125188.748037,-0.018834,
2021-04-23,127357.807054,0.017326,
2021-04-26,128402.833097,0.008205,
2021-04-27,127167.235707,-0.009623,
2021-04-28,126845.511165,-0.00253,
2021-04-29,127005.387456,0.00126,
2021-04-30,126374.319337,-0.004969,
2021-05-03,125656.717255,-0.005678,
2021-05-04,123265.19734,-0.019032,
2021-05-05,123415.140369,0.001216,
2021-05-06,124596.342395,0.009571,
2021-05-07,125652.399016,0.008476,
2021-05-10,125655.500454,2.5e-05,
2021-05-11,123714.364315,-0.015448,
2021-05-12,125706.217176,0.0161,
2021-05-13,126599.889665,0.007109,
2021-05-14,124203.155105,-0.018932,
2021-05-17,125407.713047,0.009698,
2021-05-18,125059.059658,-0.00278,
2021-05-19,125297.093967,0.001903,
2021-05-20,122813.153556,-0.019824,
2021-05-21,123190.153805,0.00307,
2021-05-24,121976.421543,-0.009853,
2021-05-25,121568.228774,-0.003346,
2021-05-26,120933.157763,-0.005224,
2021-05-27,120883.418005,-0.000411,
2021-05-28,121284.171913,0.003315,
2021-06-01,121416.982538,0.001095,
2021-06-02,122836.835234,0.011694,
2021-06-03,124629.8319,0.014597,
2021-06-04,125144.268265,0.004128,
2021-06-07,124933.861217,-0.001681,
2021-06-08,124257.463599,-0.005414,
2021-06-09,123765.929171,-0.003956,
2021-06-10,124085.659415,0.002583,
2021-06-11,124997.230727,0.007346,
2021-06-14,125967.405841,0.007762,
2021-06-15,125193.971991,-0.00614,
2021-06-16,125063.917369,-0.001039,
2021-06-17,128082.924931,0.02414,
2021-06-18,127627.373338,-0.003557,
2021-06-21,127404.424149,-0.001747,
2021-06-22,129215.118543,0.014212,
2021-06-23,130082.191585,0.00671,
2021-06-24,130333.997874,0.001936,
